Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"My Soul (Meine Seele) (headpiece, page 52) from Umbra vitae (Shadow of Life)",Ernst Ludwig Kirchner,3115,"(German, 1880–1938)",(German),(1880),(1938),(male),1924,Woodcut from an illustrated book of fifty woodcuts,"composition: 3 9/16 x 2 1/4"" (9 x 5.7 cm); page: 9 1/16 x 6 1/8"" (23 x 15.6 cm)",,861.1964.40,Illustrated Book,Drawings & Prints,1964-10-06,Y,26697,https://www.moma.org/collection/works/26697,https://www.moma.org/media/W1siZiIsIjEyNTE0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6fe7c175c21782cb,,,,,9.0,,,5.7,,
Letter Openers,Neal Small,5475,"(American, born 1937)",(American),(1937),(0),(male),1968,Acrylic,".1: 6 13/16 x 5/8"" (17.3 x 1.6 cm)
.2: 6 3/4 x 5/8"" (17.2 x 1.6 cm)",Gift of the designer,1270.1968.1-2,Design,Architecture & Design,1968-10-07,Y,4657,https://www.moma.org/collection/works/4657,https://www.moma.org/media/W1siZiIsIjUxOTU2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=83e5197470f1203e,,,,1.6,,17.3,,,,
LOOKING FOR MUSHROOMS,Bruce Conner,1215,"(American, 1933–2008)",(American),(1933),(2008),(male),1959–1967,"16mm film (color, sound)",3 min.,"The Museum of Modern Art, New York (Commitee on Media and Performance Art Funds), and the San Francisco Museum of Modern Art (Accessions Committee Fund purchase), with the generous support of Pamela and Richard Kramlich and the New Art Trust",1753.2015,Film,Media and Performance,2015-12-11,Y,200075,https://www.moma.org/collection/works/200075,https://www.moma.org/media/W1siZiIsIjM0MDcyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b39ea384eccaa385,,,,,,,,,,180.0
"Resor House project, Jackson Hole, WY (Floor plan. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1937—1938,Pencil on tracing paper,(21.5 x 33 cm.),"Mies van der Rohe Archive, gift of the architect",MR3800.314,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,494184,,,,,,,,,,,,
"Église, Sceaux-les-Chartreux",Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1924,Matte albumen silver print,"Approx. 7 × 8 7/8"" (17.8 × 22.5 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.2729,Photograph,Photography,1968-03-06,Y,40729,https://www.moma.org/collection/works/40729,https://www.moma.org/media/W1siZiIsIjMxMTA5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=536868ce472159b3,,,,,,,,,,
Inferno Series - E,Rico Lebrun,3447,"(American, born Italy. 1900–1964)",(American),(1900),(1964),(male),1961,Lithograph,"composition (slightly irreg.): 13 1/2 × 8 7/16"" (34.3 × 21.4 cm); sheet: 22 3/4 × 15 1/8"" (57.8 × 38.5 cm)","Gift of Kleiner, Bell & Co.",902.1967,Print,Drawings & Prints,1969-12-04,Y,74704,https://www.moma.org/collection/works/74704,https://www.moma.org/media/W1siZiIsIjU0OTY0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5f968b6dd4874482,,,,,34.3,,,21.4,,
Still Life,Max Weber,6275,"(American, born Russia. 1881–1961)",(American),(1881),(1961),(male),(1926),Gouache and pencil on paper on board,"9 1/8 x 8 1/8"" (23.3 x 20.8 cm)",Gift of Abby Aldrich Rockefeller,160.1935,Drawing,Drawings & Prints,1935-06-14,Y,34922,https://www.moma.org/collection/works/34922,,,,,,23.2,,,20.6,,
Outside,Michal Rovner,7038,"(Israeli, born 1957)",(Israeli),(1957),(0),(female),1991,Chromogenic print,"19 5/16 × 18 7/8"" (49.1 × 48 cm)",Gift of Susan and Peter MacGill,201.2002.x1-x2,Photograph,Photography,2002-06-13,Y,86054,https://www.moma.org/collection/works/86054,https://www.moma.org/media/W1siZiIsIjI0MDY0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6f966dd58ced60f0,,,,,49.1,,,48.0,,
"George Wallace, Cotton Bowl, Dallas from the portfolio Big Shots",Garry Winogrand,6399,"(American, 1928–1984)",(American),(1928),(1984),(male),1964,"Gelatin silver print, printed 1983","12 3/8 × 18 1/2"" (31.4 × 47 cm)",Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz,847.2007.11,Photograph,Photography,2007-10-11,Y,113239,https://www.moma.org/collection/works/113239,https://www.moma.org/media/W1siZiIsIjE5NzQzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0fa08079ebbdf0bc,,,,,31.4,,,47.0,,
"S.M.S. No. 1-6, February-December 1968",Various Artists,24409,,(),(0),(0),(),1968,Six journals with special edition projects,,Gift of Carol O. Selle,460.1977.1-6,(not assigned),Drawings & Prints,1977-11-10,N,163772,,,,,,,,,,,,
Untitled,Francis Alÿs,8383,"(Belgian, born 1959)",(Belgian),(1959),(0),(male),1999-2001,Graphite and ink on paper,"Sheet: 11 x 8 1/2"" (27.9 x 21.6 cm)","Gift  of The Speyer Family Foundation, Kathy and Richard S. Fuld, Jr., Marie-Josée and Henry R. Kravis, Patricia Phelps de Cisneros, Anna Marie and Robert F. Shapiro, The Julia Stoschek Foundation, Düsseldorf, and Committee on Media Funds",207.2007.26,Drawing,Media and Performance,2007-04-11,Y,134831,https://www.moma.org/collection/works/134831,https://www.moma.org/media/W1siZiIsIjE5MzIxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6f357d9375177017,,,,,27.9400558801,,,21.5900431801,,
"Tugendhat House, Brno, Czech Republic (Corridor, children's room. Detail section.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1928—1930,"Pen- cil, yellow Pencil on tracing paper",(54.5 x 74 cm.),"Mies van der Rohe Archive, gift of the architect",MR2.91,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,473693,,,,,,,,,,,,
Saul Bass letterhead (Letter to Arthur A. Cohen & Elaine Lustig Cohen),Saul Bass,372,"(American, 1920–1996)",(American),(1920),(1996),(male),1962,Letterpress,"7 1/4 × 8 1/2"" (18.4 × 21.6 cm)","Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",1121.2015,Design,Architecture & Design,2015-10-19,Y,198660,https://www.moma.org/collection/works/198660,,,,,,18.4150368301,,,21.5900431801,,
The Box Car Baby,,,,,,,,1912,1 piece,"Overall: 40 x 30 1/8"" (101.6 x 76.5 cm)",Purchase,1034.2005,Work on Paper,Film,2005-07-01,N,105898,,,,,,,101.6002,,,76.5177,,
THE IRON HORSE,Paul R. Meltsner,6854,"(American, 1905–1959)",(American),(1905),(1959),(male),(c. 1934),"Lithograph, printed in black","composition  10 7/16 x 14 7/8"" (26.5 x 37.8 cm)
sheet  12 5/16 x 18 13/16"" (31 x 47.8 cm)",Gift of James Raphael Cherry,6.1935,Print,Drawings & Prints,1935-02-08,N,59674,,,,,,,26.5,,,37.8,,
Ulialaevshchina. Epopeia,Ivan Rerberg,24117,,(),(0),(0),(male),1927,,"Page: 6 3/4 x 5"" (17.2 x 12.7 cm)",Gift of The Judith Rothschild Foundation,767.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,23559,,,,,,,17.2,,,12.7,,
"IIT Boiler Plant, Chicago, IL (Exterior perspective.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1945—1946,Sketch,(15.2 x 21.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR4504.34,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,456405,,,,,,,,,,,,
Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),(1899),(1994),(female),After 1933,Cotton and metallic thread,"5 7/8 x 7 3/8"" (14.9 x 18.7 cm)",Gift of Josef Albers,450.1970.81,Design,Architecture & Design,1970-11-05,Y,3787,https://www.moma.org/collection/works/3787,https://www.moma.org/media/W1siZiIsIjIxMTQwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da6c9e2d6e49460a,,,,,,14.9225,,18.7,,
Untitled from Woodcuts,Thomas Schütte,5281,"(German, born 1954)",(German),(1954),(0),(male),2011,One from a portfolio of nine woodcuts,"composition: 89 5/8 x 59 1/4"" (227.6 x 150.5 cm); sheet: 99 5/8 x 63 3/4"" (253 x 162 cm)","Acquired through the generosity of Glenn Dubin, Donald B. Marron, Jerry I. Speyer, Marlene Hess, Anne Dias Griffin, Mimi Haas, Gary Winnick, Edgar Wachenheim III, and Committee on Prints and Illustrated Books Fund",743.2012.6,Print,Drawings & Prints,2012-05-22,Y,162513,https://www.moma.org/collection/works/162513,https://www.moma.org/media/W1siZiIsIjI1NDA2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6bec8942dc33fb1a,,,,,227.6,,,150.5,,
"Rejected trial proof of THE FLAMINGOS (2nd supplementary suite, plate 7) from NATURAL HISTORY",Walter Stein,5626,"(American, born 1924)",(American),(1924),(0),(male),1960,,"irreg. composition  7 1/16 x 5 1/4"" (18 x 13.3 cm)
sheet  7 11/16 x 10 1/4"" (19.5 x 26.1 cm)",The Louis E. Stern Collection,1062.1964.C07,Illustrated Book,Drawings & Prints,1964-10-06,N,31066,,,,,,,18.0,,,13.3,,
"Duplicate of plate from folio 75 (supplementary suite, plate 68) from LA VILLE",Frans Masereel,3814,"(Belgian, 1889–1972)",(Belgian),(1889),(1972),(male),1925,,"composition  6 3/8 x 4 3/8"" (16.2 x 11.2 cm)",Purchase,587.1949.170,Illustrated Book,Drawings & Prints,1949-09-29,N,19186,,,,,,,16.2,,,11.2,,
Headpiece (page 99) from LE POÈTE ASSASSINÉ,Raoul Dufy,1646,"(French, 1877–1953)",(French),(1877),(1953),(male),1926,,"irreg. composition  2 9/16 x 5 9/16"" (6.6 x 14.2 cm)",The Louis E. Stern Collection,817.1964.26,Illustrated Book,Drawings & Prints,1964-10-06,N,25374,,,,,,,6.6,,,14.2,,
"Design for Telefunken Record Player, Elevations and section",Lilly Reich,8059,"(German, 1885–1947)",(German),(1885),(1947),(female),1937-1939,Pencil and colored pencil on tracing paper,"16 x 32 1/2"" (40.6 x 82.6 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R2.16,Mies van der Rohe Archive,Architecture & Design,,Y,139920,https://www.moma.org/collection/works/139920,https://www.moma.org/media/W1siZiIsIjI5NjAzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ecc803af65571103,,,,,40.6400812802,,,82.5501651003,,
Archival envelope,Ben Kinmont,41829,"(American, born 1963)",(American),(1963),(0),(male),,Archival envelope,,Fund for the Twenty-First Century,72.2013.378,Print,Drawings & Prints,2013-02-07,N,169439,,,,,,,,,,,,
Portrait of Fridel Battenberg (Bildnis Fridel Battenberg),Max Beckmann,429,"(German, 1884–1950)",(German),(1884),(1950),(male),(1920),Lithograph,"composition (irreg.): 13 3/4 x 9 5/8"" (35 x 24.4 cm); sheet: 20 7/16 x 15 7/16"" (51.9 x 39.2 cm)",Purchase,595.1956,Print,Drawings & Prints,1956-12-19,Y,71632,https://www.moma.org/collection/works/71632,https://www.moma.org/media/W1siZiIsIjExNzI4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=31f5af01ba8cb526,,,,,35.0,,,24.4,,
97 rue du Bac,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1903,Albumen silver print,"6 3/4 × 8 3/8"" (17.1 × 21.3 cm)",Given anonymously,114.1950,Photograph,Photography,1950-04-24,Y,46459,https://www.moma.org/collection/works/46459,https://www.moma.org/media/W1siZiIsIjMyMTgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c3d1288b4a74bf35,,,,,17.1,,,21.3,,
Woman in an Armchair,Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(male),July 1941,Oil on canvas,"36 3/8 x 29"" (92.4 x 73.6 cm)",Florene May Schoenborn Bequest,828.1996,Painting,Painting & Sculpture,1996-12-09,Y,80396,https://www.moma.org/collection/works/80396,https://www.moma.org/media/W1siZiIsIjE1MTUwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=06ffb9dd6421e1f2,,,,,92.4,,,73.6,,
Untitled,Anthony Nobile,4317,"(American, born 1938)",(American),(1938),(0),(male),1972,Gelatin silver print,"9 3/4 × 7 1/2"" (24.8 × 19.0 cm)",Purchase,181.1974,Photograph,Photography,1974-04-02,Y,47769,https://www.moma.org/collection/works/47769,https://www.moma.org/media/W1siZiIsIjIzMzMxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dfa0bff549ccc637,,,,,24.8,,,19.0,,
Tacks from the series Pandorasville Revisited,James Boynton,725,"(American, 1928–2010)",(American),(1928),(2010),(male),1967,One from a series of twelve lithographs,"composition: 4 11/16 × 4 5/8"" (11.9 × 11.7 cm); sheet (approx.): 11 1/4 × 10 1/16"" (28.5 × 25.5 cm)","Gift of Kleiner, Bell & Co.",875.1968.7,Print,Drawings & Prints,1974-01-10,Y,74585,https://www.moma.org/collection/works/74585,https://www.moma.org/media/W1siZiIsIjU0NTIxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=37655d6dfe485034,,,,,11.9,,,11.7,,
Untitled,Luigi Ghirri,39882,"(Italian, 1943–1992)",(Italian),(1943),(1992),(male),1970s,Chromogenic print,"4 9/16 × 6 15/16"" (11.6 × 17.7 cm)",Gift of the artist,453.2013.42,Photograph,Photography,2013-05-09,Y,165433,https://www.moma.org/collection/works/165433,https://www.moma.org/media/W1siZiIsIjI3MTg2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1dd1af6e858fa810,,,,,11.6,,,17.7,,
Colored Drawing,Fritz Glarner,2186,"(American, born Switzerland. 1899–1972)",(American),(1899),(1972),(male),1963,Lithograph,"composition: 12 11/16 x 11 7/8"" (32.2 x 30.2cm); sheet: 24 3/4 x 19 15/16"" (62.9 x 50.7cm)",Gift of the Celeste and Armand Bartos Foundation,238.1963,Print,Drawings & Prints,1963-04-09,Y,64975,https://www.moma.org/collection/works/64975,https://www.moma.org/media/W1siZiIsIjIyMDcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d8fa29bffe193c88,,,,,32.2,,,30.2,,
"ST. MARK'S SQUARE, plate V (folio 17) from VOYAGE À VENISE",André Masson,3821,"(French, 1896–1987)",(French),(1896),(1987),(male),1951-1952,"Lithograph, printed in color","irreg. composition  14 7/16 x 12 1/2"" (36.7 x 31.8 cm)",The Louis E. Stern Collection,921.1964.20,Illustrated Book,Drawings & Prints,1964-10-06,N,28227,,,,,,,36.7,,,31.8,,
Unidentfied Project (Perspective and section. Sketch.),Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),n.d.,Pencil on paper,(15.2 x 20.3 cm.),"Mies van der Rohe Archive, gift of the architect",MR1000.963,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,471050,,,,,,,,,,,,
Headpiece (page 93) from The Fables of Aesop,Thomas Bewick,542,"(British, 1753–1828)",(British),(1753),(1828),(male),1818,Wood engraving from an illustrated book with 323 wood engravings and one etching and engraving,"composition: 2 1/4 × 3 3/16"" (5.7 × 8.1 cm); page (irreg.): 8 1/4 × 5 5/16"" (21 × 13.5 cm)",The Louis E. Stern Collection,680.1964.88,Illustrated Book,Drawings & Prints,1964-10-06,Y,21248,https://www.moma.org/collection/works/21248,https://www.moma.org/media/W1siZiIsIjE3NzI1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b71786e94d56f27a,,,,,5.7,,,8.1,,
Knoll International Graphic Program: Furniture and Textiles,"Massimo Vignelli, Lella Vignelli","6155, 7442","(Italian, 1931–2014) (Italian, 1934–2016)",(Italian) (Italian),(1931) (1934),(2014) (2016),(male) (female),1969,Lithograph,"11 3/4 x 8 1/4"" (29.8 x 21 cm)",Gift of the designer,377.2004.9,Design,Architecture & Design,2004-04-22,Y,199272,https://www.moma.org/collection/works/199272,https://www.moma.org/media/W1siZiIsIjE3MjIzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5cafcc87fa6b2c7d,,,,,29.8451,,,20.955,,
"Coin, rues Lanneau, Jean-De-Beauvais et Fromentel",Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),May-June 1925,Matte gelatin silver printing-out-paper print,"6 15/16 × 9"" (17.7 × 22.8 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.1629,Photograph,Photography,1968-03-06,Y,39579,https://www.moma.org/collection/works/39579,https://www.moma.org/media/W1siZiIsIjIzMzM0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8ddd546ea0a87e2b,,,,,17.7,,,22.8,,
Plate (page 22) from Gloria,Alex Katz,3016,"(American, born 1927)",(American),(1927),(0),(male),2005,One from an illustrated book with twenty-five etchings and a supplementary suite of twenty-five etchings,"plate: 4 × 4"" (10.2 × 10.2 cm); page (each): 12 × 8 3/4"" (30.5 × 22.2 cm)","Eugene Mercy, Jr. Fund and Anna Marie and Robert F. Shapiro Fund",266.2006.A10,Illustrated Book,Drawings & Prints,2006-03-08,Y,107035,https://www.moma.org/collection/works/107035,https://www.moma.org/media/W1siZiIsIjExNjY0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=439afdaf1e96f8ea,,,,,10.16002032,,,10.16002032,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, IL (Classrooms. Plans.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1945—1946,Pencil on tracing,(52.1 x 77.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR4512.503,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,458094,,,,,,,,,,,,
Hallo Shiva...,Sigmar Polke,4671,"(German, 1941–2010)",(German),(1941),(2010),(male),1974,Photolithograph,"composition: 8 x 16 15/16"" (20.3 x 43.1 cm); sheet: 15 3/4 x 21 5/8"" (40 x 55 cm)",Eliza Parkinson Cobb Fund,198.1986,Print,Drawings & Prints,1986-05-20,Y,64251,https://www.moma.org/collection/works/64251,https://www.moma.org/media/W1siZiIsIjIxOTg4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=653775c85db40df4,,,,,20.3,,,43.1,,
My Soldier,Green,2318,(American),(American),(0),(0),(),c. 1917,Lithograph,"41 3/4 x 27 9/16"" (106 x 70 cm)",Gift of Mrs. M. E. Wormser,137.1943,Design,Architecture & Design,1943-05-12,Y,5185,https://www.moma.org/collection/works/5185,,,,0.0,,106.0,,,70.0,,
In Love (Verliebt),Christian Rohlfs,5000,"(German, 1849–1938)",(German),(1849),(1938),(male),(c. 1912),Linoleum cut,"composition (irreg.): 10 x 7 9/16"" (25.4 x 19.2 cm); sheet: 8 7/8 x 4 15/16"" (22.5 x 12.5 cm)",Matthew T. Mellon Foundation Fund,36.1962,Print,Drawings & Prints,1962-01-09,Y,60593,https://www.moma.org/collection/works/60593,https://www.moma.org/media/W1siZiIsIjExODMwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=184a0724bc7ff86f,,,,,25.4,,,19.2,,
"Announcement for Flux-Harpsichord Konzert, Galerie Rene Block, Berlin, September 3, 1976",,,,,,,,1976,Offset,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3667,Print,Fluxus Collection,2008-10-08,N,137654,,,,,0.0,,0.0,,,0.0,,
Untitled,Ed Moses,4121,"(American, 1926–2018)",(American),(1926),(2018),(male),1968,Lithograph with cut-out projection,"composition and sheet: 13 1/4 × 16 5/8"" (33.7 × 42.3 cm)","Gift of Kleiner, Bell & Co.",568.1969,Print,Drawings & Prints,1974-01-10,Y,71264,https://www.moma.org/collection/works/71264,https://www.moma.org/media/W1siZiIsIjIxODY2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e4e97a468cda2c4b,,,,,33.7,,,42.3,,
"Untitled from Eyes, Dark",Lynne Yamamoto,8199,"(American, born 1961)",(American),(1961),(0),(female),1999,One from a portfolio of 16 photogravures,"plate: 3 1/2 × 5"" (8.9 × 12.7 cm); sheet: 9 × 9"" (22.9 × 22.9 cm)",Monroe Wheeler Fund,182.2000.4,Print,Drawings & Prints,2000-03-02,Y,154569,https://www.moma.org/collection/works/154569,https://www.moma.org/media/W1siZiIsIjIzNzY1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ff30d8f1fe01146f,,,,,,,,,,
Untitled from Supernova,John Armleder,6621,"(Swiss, born 1948)",(Swiss),(1948),(0),(male),2003,Lithograph from a portfolio of nineteen lithographs and one monotype,"composition: 21 1/2 x 30 3/16"" (54.6 x 76.7 cm); sheet: 22 1/8 x 30 3/16"" (56.2 x 76.7 cm)",General Print Fund,336.2003.19,Print,Drawings & Prints,2003-11-20,Y,89487,https://www.moma.org/collection/works/89487,https://www.moma.org/media/W1siZiIsIjIxNDE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e577be59af3fa209,,,,,54.6,,,76.7,,
Untitled,Lucia Radochonska,4784,"(Polish, born 1948)",(Polish),(1948),(0),(female),1973,Gelatin silver print,"8 1/4 × 12 1/2"" (21.0 × 31.8 cm)",Purchase,361.1974,Photograph,Photography,1974-06-04,Y,51751,https://www.moma.org/collection/works/51751,https://www.moma.org/media/W1siZiIsIjIxNzgwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=24975960dc7de178,,,,,21.0,,,31.8,,
Untitled,Chikuchi Toshio,1102,,(),(0),(0),(),c. 1950,Gelatin silver print,"9 × 11 5/8"" (22.7 × 29.5 cm)",Gift of Nihon Keizai Shimbun,193.1959,Photograph,Photography,1959-04-22,Y,48152,https://www.moma.org/collection/works/48152,https://www.moma.org/media/W1siZiIsIjE1OTQwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3f9f147d7de96e2a,,,,,22.7,,,29.5,,
Painting with a Ball,Jasper Johns,2923,"(American, born 1930)",(American),(1930),(0),(male),1972–73,Lithograph,"composition: 21 7/8 × 18 3/8"" (55.5 × 46.7 cm); sheet: 31 3/16 × 22 3/4"" (79.2 × 57.8 cm)",Gift of Celeste Bartos,328.1973,Print,Drawings & Prints,1973-10-24,Y,67027,https://www.moma.org/collection/works/67027,https://www.moma.org/media/W1siZiIsIjI2ODAwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=514f52d5a5375a55,,,,,55.5,,,46.7,,
In-text plate (folio 18) from TETRASCROLL,R. Buckminster Fuller,2030,"(American, 1895–1983)",(American),(1895),(1983),(male),1975-1976,,"irreg composition  12 13/16 x 15 3/4"" (32.6 x 40 cm)",Gift of Celeste Bartos,52.1977.16,Illustrated Book,Drawings & Prints,1977-02-10,N,10778,,,,,,,32.6,,,40.0,,
Old Sydney textile,Mary Curtis,48285,,(),(0),(0),(female),c. 1947,Screenprinted silk,"18 1/2 x 36"" (47 x 91.4 cm)",Anonymous gift,1097.2015,Design,Architecture & Design,2015-10-19,Y,194448,https://www.moma.org/collection/works/194448,https://www.moma.org/media/W1siZiIsIjQ2Nzg5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4a4241f4dc51de82,,,0.0,,46.9900939802,,,91.4401828804,,
